School name,2023 Enrolment Pressure (EPI),School Type,Suburb,LGA,Education Sector,Estimated no. Enrolments,Full Capacity (100% EPI),Spare Capacity,Note
Keilor Heights Primary School,63%,Primary,Keilor East,Moonee Valley (C),Government,348,552,204,
Roxburgh Homestead Primary School,63%,Primary,Roxburgh Park,Hume (C),Government,446,708,262,
Elsternwick Primary School,63%,Primary,Brighton,Bayside (C),Government,431,684,253,
Benton Junior College,63%,Primary,Mornington,Mornington Peninsula (S),Government,697,1106,409,
Swan Hill College,63%,Secondary,Swan Hill,Swan Hill (RC),Government,753,1196,442,
Sale College,63%,Secondary,Sale,Wellington (S),Government,769,1221,452,
Brauer Secondary College,63%,Secondary,Warrnambool,Warrnambool (C),Government,852,1352,500,
Cranbourne West Secondary College,63%,Secondary,Cranbourne West,Casey (C),Government,794,1260,466,
Airly Primary School,62%,Primary,Airly,Wellington (S),Government,31,50,19,
Lake Boga Primary School,62%,Primary,Lake Boga,Swan Hill (RC),Government,62,100,38,
Dimboola Primary School,62%,Primary,Dimboola,Hindmarsh (S),Government,93,150,57,
Windsor Primary School,62%,Primary,Windsor,Stonnington (C),Government,141,228,87,
Lindenow Primary School,62%,Primary,Lindenow,East Gippsland (S),Government,136,219,83,
Lorne P-12 College,62%,Pri/Sec,Lorne,Surf Coast (S),Government,142,228,87,
Lalor North Primary School,62%,Primary,Lalor,Whittlesea (C),Government,271,437,166,
Thomastown Secondary College,62%,Secondary,Thomastown,Whittlesea (C),Government,517,834,317,
Beveridge Primary School,62%,Primary,Beveridge,Mitchell (S),Government,497,802,305,
Clyde Secondary College,62%,Primary,Clyde,Casey (C),Government,364,587,223,
Mornington Secondary College,62%,Secondary,Mornington,Mornington Peninsula (S),Government,1173,1891,719,
Inglewood Primary School,61%,Primary,Inglewood,Loddon (S),Government,46,75,29,
Kialla Central Primary School,61%,Primary,Kialla,Greater Shepparton (C),Government,76,125,49,
Tambo Upper Primary School,61%,Primary,Tambo Upper,East Gippsland (S),Government,92,151,59,
Little Bendigo Primary School,61%,Primary,Nerrina,Ballarat (C),Government,76,125,49,
Lethbridge Primary School,61%,Primary,Lethbridge,Golden Plains (S),Government,107,175,68,
Buln Buln Primary School,61%,Primary,Buln Buln,Baw Baw (S),Government,122,200,78,
Ardeer Primary School,61%,Primary,Ardeer,Brimbank (C),Government,138,226,88,
Lakes Entrance Secondary College,61%,Secondary,Lakes Entrance,East Gippsland (S),Government,244,399,156,
Cranbourne Primary School,61%,Primary,Cranbourne,Casey (C),Government,247,405,158,
Mount Clear Primary School,61%,Primary,Mount Clear,Ballarat (C),Government,246,403,157,
Stawell Secondary College,61%,Secondary,Stawell,Northern Grampians (S),Government,338,554,216,
Woady Yaloak Primary School,61%,Primary,Smythesdale,Golden Plains (S),Government,319,523,204,
Orchard Park Primary School,61%,Primary,Officer,Cardinia (S),Government,319,523,204,
Drysdale Primary School,61%,Primary,Drysdale,Greater Geelong (C),Government,364,597,233,
Myrtleford P-12 College,61%,Pri/Sec,Myrtleford,Alpine (S),Government,384,629,245,
Springvale Rise Primary School,61%,Primary,Springvale,Greater Dandenong (C),Government,446,731,285,
Auburn South Primary School,61%,Primary,Hawthorn East,Boroondara (C),Government,577,946,369,
Mount Erin Secondary College,61%,Secondary,Frankston South,Frankston (C),Government,749,1229,479,
Mill Park Heights Primary School,61%,Primary,Mill Park,Whittlesea (C),Government,684,1121,437,
The Lakes South Morang College,61%,Pri/Sec,South Morang,Whittlesea (C),Government,669,1097,428,
Baden Powell P-9 College,61%,Pri/Sec,Hoppers Crossing,Wyndham (C),Government,964,1580,616,
Bentleigh Secondary College,61%,Secondary,Bentleigh East,Glen Eira (C),Government,926,1518,592,
Brighton Secondary College,61%,Secondary,Brighton East,Bayside (C),Government,984,1613,629,
Mount Egerton Primary School,60%,Primary,Mount Egerton,Moorabool (S),Government,15,25,10,
Bolinda Primary School,60%,Primary,Bolinda,Macedon Ranges (S),Government,45,75,30,
Lardner and District Primary School,60%,Primary,Lardner,Baw Baw (S),Government,75,125,50,
Briagolong Primary School,60%,Primary,Briagolong,Wellington (S),Government,90,150,60,
Cobden Primary School,60%,Primary,Cobden,Corangamite (S),Government,149,248,99,
Longwarry Primary School,60%,Primary,Longwarry,Baw Baw (S),Government,150,250,100,
Foster Primary School,60%,Primary,Foster,South Gippsland (S),Government,195,325,130,
Findon Primary School,60%,Primary,Mill Park,Whittlesea (C),Government,304,507,203,
Templestowe Valley Primary School,60%,Primary,Lower Templestowe,Manningham (C),Government,361,602,241,
Rollins Primary School,60%,Primary,Bell Post Hill,Greater Geelong (C),Government,311,518,207,
Moonee Ponds West Primary School,60%,Primary,Moonee Ponds,Moonee Valley (C),Government,344,573,229,
Woady Yaloak Primary School,60%,Primary,Smythesdale,Golden Plains (S),Government,319,532,213,
Dallas Brooks Community Primary School,60%,Primary,Dallas,Hume (C),Government,378,630,252,
Camperdown College,60%,Pri/Sec,Camperdown,Corangamite (S),Government,386,644,257,
Keilor Primary School,60%,Primary,Keilor,Brimbank (C),Government,393,656,262,
Glenroy Secondary College,60%,Secondary,Glenroy,Moreland (C),Government,442,737,295,
Horsham Primary School,60%,Primary,Horsham,Horsham (RC),Government,427,712,285,
Pascoe Vale Girls Secondary College,60%,Secondary,Pascoe Vale,Moreland (C),Government,821,1368,547,
Rosebud Secondary College,60%,Secondary,Rosebud,Mornington Peninsula (S),Government,927,1545,618,
Mill Park Secondary College,60%,Secondary,Mill Park,Whittlesea (C),Government,1107,1845,738,
Anakie Primary School,59%,Primary,Anakie,Greater Geelong (C),Government,59,100,41,
Nicholson Primary School,59%,Primary,Nicholson,East Gippsland (S),Government,74,125,51,
Yarram Primary School,59%,Primary,Yarram,Wellington (S),Government,149,252,103,
Heatherhill Primary School,59%,Primary,Springvale,Greater Dandenong (C),Government,180,305,125,
Moomba Park Primary School,59%,Primary,Fawkner,Moreland (C),Government,207,352,144,
Carisbrook Primary School,59%,Primary,Carisbrook,Central Goldfields (S),Government,251,425,174,
John Fawkner Secondary College,59%,Secondary,Fawkner,Moreland (C),Government,285,484,198,
Guthridge Primary School,59%,Primary,Sale,Wellington (S),Government,281,477,196,
Rutherglen High School,59%,Secondary,Rutherglen,Indigo (S),Government,307,521,214,
Northern College of the Arts and Technology,59%,Secondary,Preston,Darebin (C),Government,352,596,244,
Ivanhoe Primary School,59%,Primary,Ivanhoe,Banyule (C),Government,536,908,372,
Western Port Secondary College,59%,Secondary,Hastings,Mornington Peninsula (S),Government,659,1117,458,
Kurnai College,59%,Secondary,Morwell,Latrobe (C),Government,1175,1992,817,
Cudgee Primary School,58%,Primary,Cudgee,Moyne (S),Government,29,50,21,
Woorinen District Primary School,58%,Primary,Woorinen South,Swan Hill (RC),Government,73,126,53,
Macarthur Street Primary School,58%,Primary,Soldiers Hill,Ballarat (C),Government,73,126,53,
Nathalia Secondary College,58%,Secondary,Nathalia,Moira (S),Government,101,174,73,
Point Lonsdale Primary School,58%,Primary,Point Lonsdale,Queenscliffe (B),Government,116,201,84,
Hamilton North Primary School,58%,Primary,Hamilton,Southern Grampians (S),Government,175,302,127,
Boort District P-12 School,58%,Pri/Sec,Boort,Loddon (S),Government,189,326,137,
Yuille Park P-8 Community College,58%,Pri/Sec,Wendouree,Ballarat (C),Government,204,351,147,
Murtoa College,58%,Pri/Sec,Murtoa,Yarriambiack (S),Government,248,428,180,
Altona Meadows Primary School,58%,Primary,Altona Meadows,Hobsons Bay (C),Government,277,478,201,
Exford Primary School,58%,Primary,Exford,Melton (C),Government,279,481,202,
Roberts McCubbin Primary School,58%,Primary,Box Hill South,Whitehorse (C),Government,334,576,242,
Glen Iris Primary School,58%,Primary,Glen Iris,Boroondara (C),Government,382,659,277,
Monterey Secondary College,58%,Secondary,Frankston North,Frankston (C),Government,376,648,272,
Ivanhoe East Primary School,58%,Primary,Ivanhoe East,Banyule (C),Government,463,799,335,
Greensborough Secondary College,58%,Secondary,Greensborough,Banyule (C),Government,492,849,356,
Northern Bay P-12 College,58%,Pri/Sec,Corio,Greater Geelong (C),Government,1710,2948,1238,
Northern Bay P-12 College,58%,Pri/Sec,Corio,Greater Geelong (C),Government,1710,2948,1238,
Norris Bank Primary School,57%,Primary,Bundoora,Whittlesea (C),Government,113,198,85,
Tootgarook Primary School,57%,Primary,Tootgarook,Mornington Peninsula (S),Government,175,306,132,
Birchip P-12 School,57%,Pri/Sec,Birchip,Buloke (S),Government,172,302,130,
Ouyen P-12 College,57%,Pri/Sec,Ouyen,Mildura (RC),Government,200,350,151,
Yarraman Oaks Primary School,57%,Primary,Noble Park,Greater Dandenong (C),Government,175,307,132,
Mullum Primary School,57%,Primary,Ringwood,Maroondah (C),Government,259,454,195,
Donvale Primary School,57%,Primary,Donvale,Manningham (C),Government,303,531,228,
Flemington Primary School,57%,Primary,Flemington,Moonee Valley (C),Government,333,584,251,
Greythorn Primary School,57%,Primary,Balwyn North,Boroondara (C),Government,420,737,317,
Hallam Secondary College,57%,Primary,Hallam,Casey (C),Government,483,847,364,
Maryborough Education Centre,57%,Pri/Sec,Maryborough,Central Goldfields (S),Government,986,1729,744,
Carranballac P-9 College,57%,Pri/Sec,Point Cook,Wyndham (C),Government,1058,1856,798,
Wodonga Middle Years College,57%,Pri/Sec,Wodonga,Wodonga (C),Government,1006,1764,759,
Dandenong High School,57%,Secondary,Dandenong,Greater Dandenong (C),Government,1445,2535,1090,
Strathewen Primary School,56%,Primary,Strathewen,Nillumbik (S),Government,28,50,22,
Newlyn Primary School,56%,Primary,Newlyn,Hepburn (S),Government,28,50,22,
Hepburn Primary School,56%,Primary,Hepburn,Hepburn (S),Government,56,100,44,
Harcourt Valley Primary School,56%,Primary,Harcourt,Mount Alexander (S),Government,84,150,66,
Alexandra Primary School,56%,Primary,Alexandra,Murrindindi (S),Government,154,275,121,
Greensborough Primary School,56%,Primary,Greensborough,Banyule (C),Government,155,276,121,
St Albans North Primary School,56%,Primary,St Albans,Brimbank (C),Government,196,350,154,
Baxter Primary School,56%,Primary,Baxter,Mornington Peninsula (S),Government,182,325,143,
Echuca Twin Rivers Primary School,56%,Primary,Echuca,Campaspe (S),Government,222,396,174,
Somers Primary School,56%,Primary,Somers,Mornington Peninsula (S),Government,212,378,166,
Moe (South Street) Primary School,56%,Primary,Moe,Latrobe (C),Government,255,456,201,
Forest Street Primary School,56%,Primary,Wendouree,Ballarat (C),Government,268,479,211,
Sunshine North Primary School,56%,Primary,Sunshine North,Brimbank (C),Government,244,436,192,
Reservoir Primary School,56%,Primary,Reservoir,Darebin (C),Government,316,564,248,
Epping Primary School,56%,Primary,Epping,Whittlesea (C),Government,354,631,278,
Matthew Flinders Girls Secondary College,56%,Secondary,Geelong,Greater Geelong (C),Government,556,992,437,
North Melbourne Primary School,56%,Primary,North Melbourne,Melbourne (C),Government,780,1393,613,
Mill Park Secondary College,56%,Secondary,Mill Park,Whittlesea (C),Government,1107,1977,870,
Wurruk Primary School,55%,Primary,Wurruk,Wellington (S),Government,55,100,45,
Parkmore Primary School,55%,Primary,Forest Hill,Whitehorse (C),Government,111,201,90,
Belle Vue Primary School,55%,Primary,Balwyn North,Boroondara (C),Government,150,273,123,
Kiewa Valley Primary School,55%,Primary,Tangambalanga,Indigo (S),Government,178,324,146,
Swan Hill North Primary School,55%,Primary,Swan Hill,Swan Hill (RC),Government,193,351,158,
St Albans Heights Primary School,55%,Primary,St Albans,Brimbank (C),Government,222,404,182,
Meadows Primary School,55%,Primary,Broadmeadows,Hume (C),Government,293,533,240,
Noble Park Secondary College,55%,Secondary,Noble Park,Greater Dandenong (C),Government,452,822,370,
Thornhill Park Primary School,55%,Primary,Thornbury,Darebin (C),Government,289,525,236,
Beveridge Primary School,55%,Primary,Beveridge,Mitchell (S),Government,497,904,407,
Karwan Primary School,55%,Primary,Rowville,Knox (C),Government,294,535,241,
Newborough Primary School,54%,Primary,Newborough,Latrobe (C),Government,108,200,92,
Rainbow P-12 College,54%,Pri/Sec,Rainbow,Hindmarsh (S),Government,108,200,92,
Heyfield Primary School,54%,Primary,Heyfield,Wellington (S),Government,108,200,92,
Kinglake West Primary School,54%,Primary,Kinglake West,Murrindindi (S),Independent,136,252,116,
Bunyip Primary School,54%,Primary,Bunyip,Cardinia (S),Government,175,324,149,
Baranduda Primary School,54%,Primary,Baranduda,Wodonga (C),Government,190,352,162,
Broadmeadows Valley Primary School,54%,Primary,Broadmeadows,Hume (C),Government,204,378,174,
Yarra Junction Primary School,54%,Primary,Yarra Junction,Yarra Ranges (S),Government,216,400,184,
Altona North Primary School,54%,Primary,Altona North,Hobsons Bay (C),Government,203,376,173,
Heany Park Primary School,54%,Primary,Rowville,Knox (C),Government,300,556,256,
Forest Hill College,54%,Secondary,Burwood East,Whitehorse (C),Government,557,1031,474,
Boronia K-12 College,54%,Pri/Sec,Boronia,Knox (C),Government,602,1115,513,
Timbarra P-9 College,54%,Pri/Sec,Berwick,Casey (C),Government,568,1052,484,
Sale College,54%,Secondary,Sale,Wellington (S),Government,769,1425,655,
Footscray High School,54%,Secondary,Footscray,Maribyrnong (C),Government,1435,2658,1223,
Bass Coast College,54%,Special,Belmont,Greater Geelong (C),Government,1603,2968,1365,
Tungamah Primary School,53%,Primary,Tungamah,Moira (S),Government,26,50,23,
Barnawartha Primary School,53%,Primary,Barnawartha,Indigo (S),Government,66,125,59,
Newstead Primary School,53%,Primary,Newstead,Mount Alexander (S),Government,66,125,59,
Kinglake Primary School,53%,Primary,Kinglake,Murrindindi (S),Government,66,124,58,
Pyramid Hill College,53%,Pri/Sec,Pyramid Hill,Loddon (S),Government,92,174,82,
Wattle Glen Primary School,53%,Primary,Wattle Glen,Nillumbik (S),Government,93,176,83,
Warrandyte Primary School,53%,Primary,Warrandyte,Manningham (C),Government,187,353,166,
Mooroopna Primary School,53%,Primary,Mooroopna,Greater Shepparton (C),Government,226,426,200,
Frankston Primary School,53%,Primary,Frankston,Frankston (C),Government,240,453,213,
Glen Huntly Primary School,53%,Primary,Glen Huntly,Glen Eira (C),Government,274,516,243,
Boroondara Park Primary School,53%,Primary,Balwyn North,Boroondara (C),Government,397,749,352,
Orbost Secondary College,53%,Secondary,Orbost,East Gippsland (S),Government,237,448,210,
Underbool Primary School,52%,Primary,Underbool,Mildura (RC),Government,26,50,24,
Pomonal Primary School,52%,Primary,Pomonal,Ararat (RC),Government,26,50,24,
Moyston Primary School,52%,Primary,Moyston,Ararat (RC),Government,39,75,36,
Darraweit Guim Primary School,52%,Primary,Darraweit Guim,Macedon Ranges (S),Government,39,75,36,
Kerang Primary School,52%,Primary,Kerang,Gannawarra (S),Government,78,150,72,
Willow Grove Primary School,52%,Primary,Willow Grove,Baw Baw (S),Government,78,150,72,
Woolsthorpe Primary School,52%,Primary,Woolsthorpe,Moyne (S),Government,78,150,72,
Euroa Primary School,52%,Primary,Euroa,Strathbogie (S),Government,116,223,107,
Harkaway Primary School,52%,Primary,Harkaway,Casey (C),Government,116,223,107,
Puckapunyal Primary School,52%,Primary,Puckapunyal,Mitchell (S),Government,208,400,192,
Lilydale Primary School,52%,Primary,Lilydale,Yarra Ranges (S),Government,196,377,181,
Mornington Park Primary School,52%,Primary,Mornington,Mornington Peninsula (S),Government,219,421,202,
Glenferrie Primary School,52%,Primary,Hawthorn,Boroondara (C),Government,240,462,222,
Maramba Primary School,52%,Primary,Narre Warren,Casey (C),Government,276,530,255,
Glen Waverley South Primary School,52%,Primary,Glen Waverley,Monash (C),Government,305,587,282,
Red Cliffs Secondary College,52%,Secondary,Red Cliffs,Mildura (RC),Government,402,773,371,
Newcomb Secondary College,52%,Secondary,Newcomb,Greater Geelong (C),Government,472,908,436,
Kurnai College,52%,Secondary,Morwell,Latrobe (C),Government,1175,2260,1085,
Strathmerton Primary School,51%,Primary,Strathmerton,Moira (S),Government,76,149,73,
Lockwood Primary School,51%,Primary,Lockwood,Greater Bendigo (C),Government,114,224,110,
Mount Beauty Primary School,51%,Primary,Mount Beauty,Alpine (S),Government,127,250,122,
Colac South West Primary School,51%,Primary,Colac,Colac-Otway (S),Government,128,251,123,
Warrnambool West Primary School,51%,Primary,Warrnambool,Warrnambool (C),Government,128,251,123,
Campbellfield Heights Primary School,51%,Primary,Campbellfield,Hume (C),Government,154,303,148,
Wangaratta Primary School,51%,Primary,Wangaratta,Wangaratta (RC),Government,140,275,135,
Launching Place Primary School,51%,Primary,Launching Place,Yarra Ranges (S),Government,154,302,148,
Rutherglen Primary School,51%,Primary,Rutherglen,Indigo (S),Government,166,325,159,
James Cook Primary School,51%,Primary,Endeavour Hills,Casey (C),Government,203,398,195,
Dinjerra Primary School,51%,Primary,Braybrook,Maribyrnong (C),Government,180,353,173,
Clayton North Primary School,51%,Primary,Clayton,Monash (C),Government,205,402,197,
Eastbourne Primary School,51%,Primary,Capel Sound,Mornington Peninsula (S),Government,280,549,269,
Kilberry Valley Primary School,51%,Primary,Hampton Park,Casey (C),Government,460,902,442,
Sunshine College,51%,Secondary,Sunshine West,Brimbank (C),Government,1175,2305,1129,
Katandra West Primary School,50%,Primary,Katandra West,Greater Shepparton (C),Government,75,150,75,
Mount Pleasant Primary School,50%,Primary,Ballarat,Ballarat (C),Government,112,224,112,
Tyrrell College,50%,Pri/Sec,Sea Lake,Buloke (S),Government,137,274,137,
Wandin Yallock Primary School,50%,Primary,Wandin North,Yarra Ranges (S),Government,126,252,126,
Streeton Primary School,50%,Primary,Yallambie,Banyule (C),Government,150,299,150,
Chatham Primary School,50%,Primary,Surrey Hills,Boroondara (C),Government,266,533,266,
Fleetwood Primary School,50%,Primary,Narre Warren,Casey (C),Government,238,476,238,
Marlo Primary School,49%,Primary,Marlo,East Gippsland (S),Government,37,76,39,
Gunbower Primary School,49%,Primary,Gunbower,Campaspe (S),Government,49,100,51,
Deans Marsh Primary School,49%,Primary,Deans Marsh,Surf Coast (S),Government,37,76,39,
Newmerella Primary School,49%,Primary,Newmerella,East Gippsland (S),Government,61,124,63,
Aireys Inlet Primary School,49%,Primary,Aireys Inlet,Surf Coast (S),Government,74,151,77,
Tallygaroopna Primary School,49%,Primary,Tallygaroopna,Greater Shepparton (C),Government,74,151,77,
Glenrowan Primary School,49%,Primary,Glenrowan,Wangaratta (RC),Government,97,198,101,
Churchill North Primary School,49%,Primary,Churchill,Latrobe (C),Government,134,274,140,
Kananook Primary School,49%,Primary,Seaford,Frankston (C),Government,171,349,178,
Hastings Primary School,49%,Primary,Hastings,Mornington Peninsula (S),Government,183,373,190,
Manchester Primary School,49%,Primary,Mooroolbark,Yarra Ranges (S),Government,218,446,227,
Albany Rise Primary School,49%,Primary,Mulgrave,Monash (C),Government,222,453,231,
Alexandra Secondary College,49%,Secondary,Alexandra,Murrindindi (S),Government,335,683,348,
Alphington Primary School,49%,Primary,Alphington,Yarra (C),Independent,345,704,359,
Parkwood Green Primary School,49%,Primary,Hillside,Melton (C),Government,633,1292,659,
Essendon Keilor College,49%,Secondary,Keilor East,Moonee Valley (C),Government,636,1298,662,
Hume Central Secondary College,49%,Secondary,Broadmeadows,Hume (C),Government,1176,2400,1224,
Cavendish Primary School,48%,Primary,Cavendish,Southern Grampians (S),Government,36,75,39,
Welshpool and District Primary School,48%,Primary,Welshpool,South Gippsland (S),Government,36,75,39,
Clunes Primary School,48%,Primary,Clunes,Hepburn (S),Government,107,223,116,
Menzies Creek Primary School,48%,Primary,Menzies Creek,Yarra Ranges (S),Government,144,300,156,
Seville Primary School,48%,Primary,Seville,Yarra Ranges (S),Government,144,300,156,
Ardeer South Primary School,48%,Primary,Sunshine West,Brimbank (C),Government,170,354,184,
Preston North East Primary School,48%,Primary,East Preston,Darebin (C),Government,220,458,238,
Lalor Primary School,48%,Primary,Lalor,Whittlesea (C),Government,217,452,235,
Terang College,48%,Pri/Sec,Terang,Corangamite (S),Government,255,531,276,
Kerang Technical High School,48%,Secondary,Kerang,Gannawarra (S),Government,255,531,276,
Spring Parks Primary School,48%,Primary,Springvale,Greater Dandenong (C),Government,245,510,265,
Armadale Primary School,48%,Primary,Armadale,Stonnington (C),Government,251,523,272,
Yarram Secondary College,48%,Secondary,Yarram,Wellington (S),Government,309,644,335,
Thomas Chirnside Primary School,48%,Primary,Werribee,Wyndham (C),Government,301,627,326,
Tallangatta Secondary College,48%,Secondary,Tallangatta,Towong (S),Government,324,675,351,
Greenvale Secondary College,48%,Primary,Greenvale,Hume (C),Government,266,555,288,
Macleod College,48%,Pri/Sec,Macleod,Banyule (C),Government,547,1139,592,
Benalla P-12 College,48%,Pri/Sec,Benalla,Benalla (RC),Government,773,1609,837,
Traralgon College,48%,Secondary,Traralgon,Latrobe (C),Government,1026,2138,1112,
Nullawarre and District Primary School,47%,Primary,Nullawarre,Moyne (S),Government,71,151,80,
Murchison Primary School,47%,Primary,Murchison,Greater Shepparton (C),Government,71,151,80,
Upwey Primary School,47%,Primary,Upwey,Yarra Ranges (S),Government,117,249,132,
Red Cliffs Primary School,47%,Primary,Red Cliffs,Mildura (RC),Government,141,300,159,
Weeden Heights Primary School,47%,Primary,Vermont South,Whitehorse (C),Government,154,328,174,
Mount Beauty Secondary College,47%,Secondary,Mount Beauty,Alpine (S),Government,176,375,199,
Hurstbridge Primary School,47%,Primary,Hurstbridge,Nillumbik (S),Government,189,403,213,
Penders Grove Primary School,47%,Primary,Thornbury,Darebin (C),Government,176,374,198,
Nhill College,47%,Pri/Sec,Nhill,Hindmarsh (S),Government,236,501,266,
Mackellar Primary School,47%,Primary,Delahey,Brimbank (C),Government,322,684,363,
Footscray High School,47%,Secondary,Footscray,Maribyrnong (C),Government,1435,3054,1618,
Harrietville Primary School,46%,Primary,Harrietville,Alpine (S),Government,34,74,40,
Tallangatta Primary School,46%,Primary,Tallangatta,Towong (S),Government,81,176,95,
Murrayville Community College,46%,Pri/Sec,Murrayville,Mildura (RC),Government,80,173,94,
Donald Primary School,46%,Primary,Donald,Buloke (S),Government,80,174,94,
Lower Plenty Primary School,46%,Primary,Lower Plenty,Banyule (C),Government,80,174,94,
Selby Primary School,46%,Primary,Selby,Yarra Ranges (S),Government,151,328,177,
Andersons Creek Primary School,46%,Primary,Warrandyte,Manningham (C),Government,194,422,228,
Gowrie Street Primary School Shepparton,46%,Primary,Shepparton,Greater Shepparton (C),Government,199,433,234,
Neerim District Secondary College,46%,Secondary,Neerim South,Baw Baw (S),Government,148,322,174,
Ararat Secondary College,46%,Secondary,Ararat,Ararat (RC),Government,313,680,367,
Fitzroy High School,46%,Secondary,Fitzroy North,Yarra (C),Government,533,1159,626,
Sandringham College,46%,Secondary,Sandringham,Bayside (C),Government,1011,2198,1187,
Northern Bay P-12 College,46%,Pri/Sec,Corio,Greater Geelong (C),Government,1710,3717,2007,EPI or enrollment data is likely wrong
Talgarno Primary School,45%,Primary,Talgarno,Towong (S),Government,34,76,42,
Lockwood South Primary School,45%,Primary,Lockwood South,Greater Bendigo (C),Government,34,76,42,
Cobains Primary School,45%,Primary,Cobains,Wellington (S),Government,34,76,42,
Tyers Primary School,45%,Primary,Tyers,Latrobe (C),Government,68,151,83,
Bruthen Primary School,45%,Primary,Bruthen,East Gippsland (S),Government,56,124,68,
Middle Kinglake Primary School,45%,Primary,Kinglake Central,Murrindindi (S),Government,67,149,82,
Heywood Consolidated School,45%,Primary,Heywood,Glenelg (S),Government,102,227,125,
Officer Primary School,45%,Primary,Officer,Cardinia (S),Government,136,302,166,
Movelle Primary School,45%,Primary,KINGS PARK,Brimbank (C),Government,149,331,182,
Marlborough Primary School,45%,Primary,Heathmont,Maroondah (C),Government,168,373,205,
Geelong East Primary School,45%,Primary,Geelong East,Greater Geelong (C),Government,182,404,222,
Victoria Road Primary School,45%,Primary,Lilydale,Yarra Ranges (S),Government,229,509,280,
Colac Secondary College,45%,Secondary,Colac,Colac-Otway (S),Government,490,1088,598,
Narracan Primary School,44%,Primary,Narracan,Baw Baw (S),Government,22,50,28,
Jeparit Primary School,44%,Primary,Jeparit,Hindmarsh (S),Government,22,50,28,
Myrrhee Primary School,44%,Primary,Myrrhee,Wangaratta (RC),Government,33,75,42,
Concongella Primary School,44%,Primary,CONCONGELLA,Northern Grampians (S),Government,44,100,56,
Goornong Primary School,44%,Primary,Goornong,Greater Bendigo (C),Government,33,75,42,
Newham Primary School,44%,Primary,Newham,Macedon Ranges (S),Government,77,175,98,
Toongabbie Primary School,44%,Primary,Toongabbie,Latrobe (C),Government,65,149,83,
Coldstream Primary School,44%,Primary,Coldstream,Yarra Ranges (S),Government,88,200,112,
Rosedale Primary School,44%,Primary,Rosedale,Wellington (S),Government,98,223,125,
Lindenow Primary School,44%,Primary,Lindenow,East Gippsland (S),Government,136,309,173,
Numurkah Primary School,44%,Primary,Numurkah,Moira (S),Government,155,352,197,
Stevensville Primary School,44%,Primary,St Albans,Brimbank (C),Government,198,450,252,
Sunbury West Primary School,44%,Primary,Sunbury,Hume (C),Government,211,480,269,
Killara Primary School,44%,Primary,Sunbury,Hume (C),Government,283,643,360,
Baimbridge College,44%,Secondary,Hamilton,Southern Grampians (S),Government,338,768,430,
Ngarri Primary School,44%,Primary,Newtown,Greater Geelong (C),Government,284,645,361,
Hopetoun P-12 College,43%,Pri/Sec,Hopetoun,Yarriambiack (S),Government,86,199,113,
Mentone Park Primary School,43%,Primary,Mentone,Kingston (C),Government,163,379,216,
Numurkah Secondary College,43%,Secondary,Numurkah,Moira (S),Government,259,601,343,
Lalor North Secondary College,43%,Secondary,Epping,Whittlesea (C),Government,304,707,403,
Fairhills High School,43%,Secondary,Knoxfield,Knox (C),Government,364,847,483,
Camperdown College,43%,Pri/Sec,Camperdown,Corangamite (S),Government,386,898,512,
Carwatha College P-12,43%,Pri/Sec,Noble Park,Greater Dandenong (C),Government,562,1308,746,
Kyabram P-12 College,43%,Pri/Sec,Kyabram,Campaspe (S),Government,978,2274,1296,
Woodside Primary School,42%,Primary,Woodside,Wellington (S),Government,42,100,58,
Watsonia Primary School,42%,Primary,Watsonia,Banyule (C),Government,73,174,101,
Colac West Primary School,42%,Primary,Colac,Colac-Otway (S),Government,84,200,116,
St Arnaud Primary School,42%,Primary,St Arnaud,Northern Grampians (S),Government,105,250,145,
Ballam Park Primary School,42%,Primary,Frankston,Frankston (C),Government,156,371,215,
Kent Park Primary School,42%,Primary,Ferntree Gully,Knox (C),Government,200,476,276,
Box Hill Senior Secondary College,42%,Secondary,Mont Albert North,Whitehorse (C),Government,386,919,533,
Woady Yaloak Primary School,42%,Primary,Smythesdale,Golden Plains (S),Government,319,760,441,
Orbost Primary School,42%,Primary,Orbost,East Gippsland (S),Government,104,248,144,
The Lakes South Morang College,42%,Pri/Sec,South Morang,Whittlesea (C),Government,669,1594,924,
Forrest Primary School,41%,Primary,Forrest,Colac-Otway (S),Government,31,76,45,
Wandiligong Primary School,41%,Primary,Wandiligong,Alpine (S),Government,31,75,44,
Koorlong Primary School,41%,Primary,Koorlong,Mildura (RC),Government,51,124,73,
Wesburn Primary School,41%,Primary,Wesburn,Yarra Ranges (S),Government,93,227,134,
Katunga Primary School,41%,Primary,Katunga,Moira (S),Government,81,198,117,
Kilsyth Primary School,41%,Primary,Kilsyth,Yarra Ranges (S),Government,124,303,179,
Macclesfield Primary School,41%,Primary,Macclesfield,Yarra Ranges (S),Government,134,326,192,
Portland North Primary School,41%,Primary,Portland North,Glenelg (S),Government,155,378,223,
Wedderburn College,41%,Pri/Sec,Wedderburn,Loddon (S),Government,185,450,266,
Collingwood College,41%,Pri/Sec,Collingwood,Yarra (C),Government,727,1774,1047,
Benalla P-12 College,41%,Pri/Sec,Benalla,Benalla (RC),Government,773,1884,1112,
Baden Powell P-9 College,41%,Pri/Sec,Hoppers Crossing,Wyndham (C),Government,964,2351,1387,
Great Western Primary School,40%,Primary,Great Western,Northern Grampians (S),Government,20,50,30,
